,date_of_price,name,distillery,age,vintage,bottled,ABV,ml,numbered,limited_edition,single_cask,ichiros_malt,latest_price
287,2020-07-01,"Fuji Gotemba, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,25.0,,2004.0,43.0,700,False,False,False,False,1216
288,2021-02-01,"Fuji Gotemba, (Cask gm14hp)",Fuji Gotemba,,,2018.0,40.0,500,False,False,False,False,44
289,2015-01-01,"Fuji Gotemba, 20th Anniversary, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,,40.0,700,False,False,False,False,68
290,2020-04-01,"Fuji Gotemba, Blender´s Choice (Single Malt Whisky), One of 420 Bottles",Fuji Gotemba,,,,46.0,500,True,False,False,False,85
291,2020-04-01,"Fuji Gotemba, Blender´s Choice (Single Grain Whisky), One of 420 Bottles",Fuji Gotemba,,,,46.0,500,True,False,False,False,110
292,2018-12-01,"Fuji Gotemba, Blender´s Choice 2014, One of 500 Bottles",Fuji Gotemba,,2014.0,,46.0,500,True,False,False,False,103
293,2020-11-01,"Fuji Gotemba, Distiller´s Select, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,2004.0,64.0,200,False,False,False,False,55
294,2020-04-01,"Fuji Gotemba, Distiller´s Select, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,2016.0,49.0,500,False,False,False,False,228
295,2020-04-01,"Fuji Gotemba, Distiller´s Select, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,2016.0,48.0,500,False,False,False,False,184
296,2019-01-01,"Fuji Gotemba, Kirin-Seagram, Dunbar, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,,42.0,720,False,False,False,False,87
297,2020-11-01,"Fuji Gotemba, Fuji-Sanroku, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,18.0,,2018.0,43.0,700,False,False,False,False,286
298,2020-08-01,"Fuji Gotemba, Fuji-Sanroku , b'Strong Box'",Fuji Gotemba,18.0,,2016.0,43.0,700,False,False,False,False,552
299,2015-12-01,"Fuji Gotemba, Kirin Collection, One of 500 Bottles",Fuji Gotemba,,,,45.0,700,True,False,False,False,129
300,2018-01-01,"Fuji Gotemba, Kirin Collection, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,,43.0,700,False,False,False,False,230
301,2021-01-01,"Fuji Gotemba, Kirin Whisky, (Cask gm111-12)",Fuji Gotemba,,,2017.0,40.0,500,False,False,False,False,76
